,회사명,상장번호
274,동우팜투테이블,088910
275,동운아나텍,094170
276,동원개발,013120
277,동일금속,109860
278,동일기연,032960
279,동일철강,023790
280,동진쎄미켐,005290
281,동화기업,025900
282,듀오백,073190
283,드래곤플라이,030350
284,드림시큐리티,203650
285,드림씨아이에스,223250
286,드림어스컴퍼니,060570
287,디딤,217620
288,디바이스이엔지,187870
289,디스플레이텍,066670
290,디아이티,110990
291,디아크,078590
292,디알젬,263690
293,디알텍,214680
294,디앤씨미디어,263720
295,디어유,376300
296,디에스케이,109740
297,디에이치피코리아,131030
298,디에이테크놀로지,196490
299,디에이피,066900
300,디엑스앤브이엑스,180400
301,디엔에이링크,127120
302,디엔에프,092070
303,디오,039840
304,디와이디,219550
305,디와이씨,310870
306,디와이피엔에프,104460
307,디이엔티,079810
308,디젠스,113810
309,디지아이,043360
310,디지캡,197140
311,디지털대성,068930
312,디지틀조선,033130
313,디케이락,105740
314,디케이앤디,263020
315,디케이티,290550
316,디티앤씨,187220
317,딜리,131180
318,딥노이드,315640
319,라닉스,317120
320,라온시큐어,042510
321,라온테크,232680
322,라온피플,300120
323,라이온켐텍,171120
324,라이트론,069540
325,라이프시맨틱스,347700
326,라파스,214260
327,래몽래인,200350
328,램테크놀러지,171010
329,랩지노믹스,084650
330,러셀,217500
331,레고켐바이오,141080
332,레드로버,060300
333,레드캡투어,038390
334,레몬,294140
335,레이,228670
336,레이언스,228850
337,레이크머티리얼즈,281740
338,레인보우로보틱스,277810
339,로보로보,215100
340,로보스타,090360
341,로보티즈,108490
342,로스웰,900260
343,로지시스,067730
344,로체시스템즈,071280
345,루멘스,038060
346,루트로닉,085370
347,루트로닉3우C,08537M
348,룽투코리아,060240
349,리노공업,058470
350,리노스,039980
351,리더스 기술투자,019570
352,리더스코스메틱,016100
353,리드코프,012700
354,리메드,302550
355,리파인,377450
356,릭스솔루션,029480
357,린드먼아시아,277070
358,링네트,042500
359,링크제니시스,219420
360,마니커에프앤지,195500
361,마이더스AI,222810
362,마이크로디지탈,305090
363,마이크로컨텍솔,098120
364,마이크로프랜드,147760
365,마인즈랩,377480
366,마크로젠,038290
367,맘스터치,220630
368,매일유업,267980
369,매일홀딩스,005990
370,매직마이크로,127160
371,매커스,093520
372,맥스트,377030
373,머큐리,100590
374,멀티캠퍼스,067280
375,메가스터디,072870
376,메가스터디교육,215200
377,메가엠디,133750
378,메드팩토,235980
379,메디아나,041920
380,메디앙스,014100
381,메디콕스,054180
382,메디톡스,086900
383,메디포스트,078160
384,메디프론,065650
385,메이슨캐피탈,021880
386,메지온,140410
387,메카로,241770
388,메타바이오메드,059210
389,멕아이씨에스,058110
390,멜파스,096640
391,명성티엔에스,257370
392,모다이노칩,080420
393,모두투어,080160
394,모바일리더,100030
395,모바일어플라이언스,087260
396,모베이스,101330
397,모베이스전자,012860
398,모비릭스,348030
