,회사명,상장번호
1180,지앤비에스엔지니어링,382800
1181,지어소프트,051160
1182,지에스이,053050
1183,지엔씨에너지,119850
1184,지엔원에너지,270520
1185,지엔코,065060
1186,지엘팜텍,204840
1187,지오엘리먼트,311320
1188,지티지웰니스,219750
1189,진로발효,018120
1190,진매트릭스,109820
1191,진바이오텍,086060
1192,진성티이씨,036890
1193,진시스템,363250
1194,진양제약,007370
1195,차바이오텍,085660
1196,차백신연구소,261780
1197,참존글로벌,158310
1198,참좋은여행,094850
1199,창해에탄올,004650
1200,천보,278280
1201,청담러닝,096240
1202,체리부로,066360
1203,초록뱀미디어,047820
1204,초록뱀컴퍼니,052300
1205,칩스앤미디어,094360
1206,카스,016920
1207,카이노스메드,284620
1208,카카오게임즈,293490
1209,카페24,042000
1210,캐리소프트,317530
1211,캐스텍코리아,071850
1212,캠시스,050110
1213,커머스마이너,223310
1214,컬러레이,900310
1215,컴투스,078340
1216,컴투스홀딩스,063080
1217,컴퍼니케이,307930
1218,케어랩스,263700
1219,케어젠,214370
1220,케이디켐,221980
1221,케이비제19호스팩,330990
1222,케이비제20호스팩,342550
1223,케이사인,192250
1224,케이씨에스,115500
1225,케이씨티,089150
1226,케이씨피드,025880
1227,케이아이엔엑스,093320
1228,케이에스피,073010
1229,케이엔더블유,105330
1230,케이엔제이,272110
1231,케이엘넷,039420
1232,케이엠,083550
1233,케이엠더블유,032500
1234,케이엠제약,225430
1235,케이옥션,102370
1236,케이티비네트워크,298870
1237,케이티알파,036030
1238,케이프,064820
1239,케이프이에스제4호,347140
1240,케이피에스,256940
1241,케이피에프,024880
1242,케이피엠테크,042040
1243,케이피티유,054410
1244,켄코아에어로스페이스,274090
1245,켐온,217600
1246,켐트로닉스,089010
1247,켐트로스,220260
1248,코나아이,052400
1249,코다코,046070
1250,코데즈컴바인,047770
1251,코드네이처,078940
1252,코디,080530
1253,코디엠,224060
1254,코렌텍,104540
1255,코리아나,027050
1256,코리아센터,290510
1257,코리아에셋투자증권,190650
1258,코리아에스이,101670
1259,코리아에프티,123410
1260,코맥스,036690
1261,코메론,049430
1262,코미코,183300
1263,코미팜,041960
1264,코세스,089890
1265,코센,009730
1266,코스나인,082660
1267,코스맥스엔비티,222040
1268,코스메카코리아,241710
1269,코스온,069110
1270,코아스템,166480
1271,코아시아,045970
1272,코아시아옵틱스,196450
1273,코엔텍,029960
1274,코오롱생명과학,102940
1275,코오롱티슈진,950160
1276,코웰패션,033290
1277,코위버,056360
1278,코윈테크,282880
1279,코이즈,121850
1280,코콤,015710
1281,코텍,052330
1282,코퍼스코리아,322780
1283,코프라,126600
1284,콜마비앤에이치,200130
1285,쿠콘,294570
1286,퀀타매트릭스,317690
1287,큐라클,365270
1288,큐렉소,060280
1289,큐로컴,040350
1290,큐로홀딩스,051780
1291,큐리언트,115180
1292,큐브엔터,182360
1293,큐에스아이,066310
1294,큐캐피탈,016600
1295,크로바하이텍,043590
1296,크루셜텍,114120
1297,크리스에프앤씨,110790
1298,크리스탈신소재,900250
1299,크리스탈지노믹스,083790
1300,크린앤사이언스,045520
1301,클라우드에어,036170
1302,클래시스,214150
1303,클리노믹스,352770
1304,클리오,237880
1305,키네마스터,139670
1306,키이스트,054780
1307,타이거일렉,219130
1308,탑엔지니어링,065130
1309,탑코미디어,134580
1310,태광,023160
1311,태양,053620
1312,태웅,044490
1313,태웅로직스,124560
1314,테고사이언스,191420
1315,테라사이언스,073640
1316,테라셈,182690
1317,테라젠이텍스,066700
1318,테스,095610
1319,테스나,131970
1320,테크윙,089030
1321,텔레칩스,054450
1322,텔레필드,091440
1323,텔콘RF제약,200230
1324,토박스코리아,215480
1325,토비스,051360
1326,토탈소프트,045340
1327,톱텍,108230
1328,투비소프트,079970
1329,툴젠,199800
1330,트루윈,105550
1331,트윔,290090
1332,특수건설,026150
1333,티라유텍,322180
1334,티로보틱스,117730
1335,티비씨,033830
1336,티사이언티픽,057680
1337,티씨케이,064760
1338,티앤알바이오팹,246710
1339,티앤엘,340570
1340,티에스아이,277880
1341,티에스이,131290
1342,티엘비,356860
1343,티엘아이,062860
1344,티움바이오,321550
1345,티케이케미칼,104480
1346,티플랙스,081150
1347,티피씨글로벌,130740
1348,팅크웨어,084730
1349,파나진,046210
1350,파나케이아,058530
1351,파라다이스,034230
1352,파라텍,033540
1353,파루,043200
1354,파마리서치,214450
1355,파멥신,208340
1356,파버나인,177830
1357,파세코,037070
1358,파수,150900
1359,파워넷,037030
1360,파워로직스,047310
1361,파이오링크,170790
1362,파인디앤씨,049120
1363,파인디지털,038950
1364,파인테크닉스,106240
1365,파인텍,131760
1366,파커스,065690
1367,파크시스템스,140860
1368,파트론,091700
1369,판타지오,032800
1370,팜스빌,318010
1371,팜스토리,027710
1372,패션플랫폼,225590
1373,팬스타엔터프라이즈,054300
1374,팬엔터테인먼트,068050
1375,팬젠,222110
1376,펄어비스,263750
1377,펌텍코리아,251970
1378,펩트론,087010
1379,포메탈,119500
1380,포스코 ICT,022100
1381,포스코엠텍,009520
1382,포시에스,189690
1383,포인트모바일,318020
1384,포인트엔지니어링,256630
1385,포커스에이치엔에스,331380
1386,포티스,141020
1387,폴라리스오피스,041020
1388,폴라리스우노,114630
1389,폴라리스웍스,123010
1390,푸드나무,290720
1391,푸드웰,005670
1392,푸른기술,094940
1393,푸른저축은행,007330
1394,풍강,093380
1395,풍국주정,023900
1396,퓨런티어,370090
1397,퓨쳐켐,220100
1398,프럼파스트,035200
1399,프레스티지바이오로직스,334970
1400,프로스테믹스,203690
1401,프로이천,321260
1402,프로텍,053610
1403,프롬바이오,377220
1404,프리시젼바이오,335810
1405,프리엠스,053160
1406,플래티어,367000
1407,플랜티넷,075130
1408,플레이디,237820
1409,플레이위드,023770
1410,플리토,300080
1411,피델릭스,032580
1412,피씨디렉트,051380
1413,피씨엘,241820
1414,피앤씨테크,237750
1415,피에스엠씨,024850
1416,피에스케이,319660
1417,피에스케이홀딩스,031980
1418,피에스텍,002230
1419,피에이치씨,057880
1420,피에이치에이,043370
1421,피엔에이치테크,239890
1422,피엔케이피부임상연구센타,347740
1423,피엔티,137400
1424,피제이메탈,128660
1425,피제이전자,006140
1426,피코그램,376180
1427,피플바이오,304840
1428,피피아이,062970
1429,픽셀플러스,087600
1430,필옵틱스,161580
1431,핌스,347770
1432,핑거,163730
1433,하나금융14호스팩,332710
1434,하나금융15호스팩,341160
1435,하나금융16호스팩,343510
1436,하나금융17호스팩,363260
1437,하나금융19호스팩,388220
1438,하나금융20호스팩,400560
1439,하나금융21호스팩,406760
1440,하나기술,299030
1441,하나마이크론,067310
1442,하나머스트7호스팩,372290
1443,하나머티리얼즈,166090
1444,하림,136480
1445,하림지주,003380
1446,하이로닉,149980
1447,하이록코리아,013030
1448,하이비젼시스템,126700
1449,하이소닉,106080
1450,하이제5호스팩,340120
1451,하이제6호스팩,377400
1452,하이제7호스팩,400840
1453,하이즈항공,221840
1454,하이텍팜,106190
1455,하인크코리아,373200
1456,하츠,066130
1457,한국9호스팩,368770
1458,한국가구,004590
1459,한국경제TV,039340
1460,한국기업평가,034950
1461,한국맥널티,222980
1462,한국바이오젠,318000
1463,한국비엔씨,256840
1464,한국선재,025550
1465,한국알콜,017890
1466,한국유니온제약,080720
1467,한국전자금융,063570
1468,한국전자인증,041460
1469,한국정밀기계,101680
1470,한국정보공학,039740
1471,한국정보인증,053300
1472,한국정보통신,025770
1473,한국제10호스팩,409570
1474,한국캐피탈,023760
1475,한국컴퓨터,054040
1476,한국코퍼레이션,050540
1477,한국큐빅,021650
1478,한국테크놀로지,053590
1479,한국파마,032300
1480,한국팩키지,037230
1481,한글과컴퓨터,030520
1482,한네트,052600
1483,한독크린텍,256150
1484,한라IMS,092460
1485,한빛소프트,047080
1486,한솔인티큐브,070590
1487,한송네오텍,226440
1488,한스바이오메드,042520
1489,한양디지텍,078350
1490,한양이엔지,045100
1491,한일네트웍스,046110
1492,한일단조,024740
1493,한일사료,005860
1494,한일진공,123840
1495,한일화학,007770
1496,한창바이오텍,043090
1497,한창산업,079170
1498,한컴MDS,086960
1499,한컴위드,054920
1500,한탑,002680
1501,한프,066110
1502,한화플러스제2호스팩,386580
1503,해성산업,034810
1504,해성산업1우,03481K
1505,해성옵틱스,076610
1506,해성티피씨,059270
1507,핸디소프트,220180
1508,헝셩그룹,900270
1509,헬릭스미스,084990
1510,현대공업,170030
1511,현대무벡스,319400
1512,현대바이오,048410
1513,현대바이오랜드,052260
1514,현대사료,016790
1515,현대에버다임,041440
1516,현대에이치티,039010
1517,현대이지웰,090850
1518,현우산업,092300
1519,현진소재,053660
1520,협진,138360
1521,형지I&C,011080
1522,홈센타홀딩스,060560
1523,홈캐스트,064240
1524,화성밸브,039610
1525,화신정공,126640
1526,화일약품,061250
1527,효성오앤비,097870
1528,휘닉스소재,050090
1529,휴네시온,290270
1530,휴럼,353190
1531,휴림로봇,090710
1532,휴마시스,205470
1533,휴맥스,115160
1534,휴맥스홀딩스,028080
1535,휴먼엔,032860
1536,휴메딕스,200670
1537,휴비츠,065510
1538,휴센텍,215090
1539,휴온스,243070
1540,휴온스글로벌,084110
1541,휴온스블러썸,263920
1542,휴젤,145020
1543,흥구석유,024060
1544,흥국,010240
1545,흥국에프엔비,189980
1546,희림,037440
1547,힘스,238490
